gene_id,gene_symbol,gene_name,GSM4996084,GSM4996085,GSM4996086,GSM4996087,GSM4996088,GSM4996089,GSM4996090,GSM4996091,GSM4996092,GSM4996093,GSM4996094,GSM4996095,GSM4996096,GSM4996097,GSM4996098,GSM4996099,GSM4996100,GSM4996101
102465434,MIR6726,microRNA 6726,1,1,1,0,2,1,1,1,2,2,0,2,0,1,1,0,0,1
109623456,SNORD167,"small nucleolar RNA, C/D box 167",6,5,9,5,7,5,5,5,3,5,4,6,6,4,9,7,4,5
126789,PUSL1,pseudouridine synthase like 1,193,187,147,179,168,192,254,176,191,190,183,198,190,153,231,166,149,199
54973,INTS11,integrator complex subunit 11,1138,1119,1255,1015,1191,997,1170,937,905,831,792,948,1047,941,1196,978,848,1327
102465435,MIR6727,microRNA 6727,5,4,4,2,9,2,6,4,2,2,5,4,4,2,5,2,2,5
80772,CPTP,ceramide-1-phosphate transfer protein,218,255,223,258,218,225,401,301,310,284,251,269,220,231,305,236,195,286
83756,TAS1R3,taste 1 receptor member 3,10,5,17,12,5,9,21,27,30,23,19,28,12,12,20,7,9,27
1855,DVL1,dishevelled segment polarity protein 1,1005,929,985,979,934,846,1720,1358,1396,1209,1198,1307,1310,1060,1368,1140,1075,1467
102466740,MIR6808,microRNA 6808,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,2
54587,MXRA8,matrix remodeling associated 8,5908,6520,6160,6518,6385,6783,17470,13108,13484,10421,8991,9933,7575,6674,8030,6708,6201,8195
54998,AURKAIP1,aurora kinase A interacting protein 1,814,792,536,512,419,594,990,622,649,667,581,578,693,651,741,654,546,795
81669,CCNL2,cyclin L2,3935,4328,5695,4858,5733,3883,3810,2930,3413,2851,2772,2990,3240,3358,4099,3862,3536,4797
148413,MRPL20-AS1,MRPL20 antisense RNA 1,347,340,251,292,269,253,363,300,232,254,221,256,251,238,302,239,228,320
55052,MRPL20,mitochondrial ribosomal protein L20,828,891,637,541,487,643,1043,686,687,725,618,730,655,647,696,668,569,770
107984868,,,1,1,6,0,5,0,1,0,1,3,1,1,1,0,1,2,3,1
441869,ANKRD65,ankyrin repeat domain 65,5,2,4,2,4,6,12,11,11,15,6,8,7,12,15,3,4,14
105378585,ANKRD65-AS1,ANKRD65 antisense RNA 1,0,1,0,0,1,1,1,0,0,1,3,1,2,0,4,2,0,1
643965,TMEM278,transmembrane protein 278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102724312,LINC01770,long intergenic non-protein coding RNA 1770,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
107985729,LOC107985729,uncharacterized LOC107985729,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
64856,VWA1,von Willebrand factor A domain containing 1,41,53,40,37,40,36,55,23,42,25,21,16,54,43,43,32,20,42
219293,ATAD3C,ATPase family AAA domain containing 3C,19,15,15,12,9,18,11,11,11,8,4,11,12,10,15,9,6,9
83858,ATAD3B,ATPase family AAA domain containing 3B,647,616,829,548,721,480,559,440,408,401,377,459,579,494,615,441,423,621
55210,ATAD3A,ATPase family AAA domain containing 3A,745,679,608,561,602,465,672,541,544,457,442,587,672,570,717,494,449,710
339453,TMEM240,transmembrane protein 240,26,25,28,26,20,30,31,34,19,21,23,19,25,22,30,34,19,28
29101,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",1593,1723,1253,1276,1097,1357,2387,1659,1764,1653,1508,1782,1532,1410,1726,1537,1434,1998
643988,FNDC10,fibronectin type III domain containing 10,104,125,81,109,109,126,346,289,268,318,259,252,142,140,169,140,119,162
105378586,LOC105378586,uncharacterized LOC105378586,4,4,3,1,4,3,11,7,8,9,5,11,4,4,10,8,7,6
142678,MIB2,MIB E3 ubiquitin protein ligase 2,772,824,1290,1033,1256,847,1024,857,814,796,750,855,805,660,863,817,662,950
8510,MMP23B,matrix metallopeptidase 23B,14,32,23,27,34,25,44,33,35,28,26,27,21,25,27,24,19,31
984,CDK11B,cyclin dependent kinase 11B,1157,1197,1223,975,1114,877,1194,1008,966,919,894,1036,988,932,1116,893,875,1247
728661,SLC35E2B,solute carrier family 35 member E2B,1756,2041,1833,1992,2322,2008,1832,1861,1755,1500,1568,1914,1757,1601,2093,2018,1966,2647
8511,MMP23A,matrix metallopeptidase 23A (pseudogene),1,5,2,2,7,6,12,7,13,6,8,7,3,5,5,8,2,7
728642,CDK11A,cyclin dependent kinase 11A,860,906,1099,857,1057,712,929,815,746,697,644,854,839,731,884,725,674,1010
9906,SLC35E2A,solute carrier family 35 member E2A (pseudogene),651,762,878,839,1045,739,759,730,689,622,619,750,691,658,885,821,764,1093
112268218,LOC112268218,uncharacterized LOC112268218,66,53,56,57,60,48,116,82,86,74,70,67,57,59,70,57,55,69
65220,NADK,NAD kinase,878,897,938,848,886,782,1329,1133,1132,1003,951,1080,886,822,1005,874,810,1123
2782,GNB1,G protein subunit beta 1,8377,9061,7268,6862,6665,6636,11334,10383,9811,8076,7421,9282,7429,7067,8516,6603,5860,8742
105378949,GNB1-DT,GNB1 divergent transcript,5,2,3,5,7,3,3,5,5,4,6,5,4,4,4,2,1,6
163688,CALML6,calmodulin like 6,37,24,48,42,79,40,50,35,43,52,26,49,31,33,48,53,58,74
339456,TMEM52,transmembrane protein 52,6,4,7,6,5,10,4,0,1,2,1,3,3,0,0,1,0,2
85452,CFAP74,cilia and flagella associated protein 74,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
107984872,LOC107984872,uncharacterized LOC107984872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378589,LOC105378589,uncharacterized LOC105378589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2563,GABRD,gamma-aminobutyric acid type A receptor subunit delta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378590,LOC105378590,uncharacterized LOC105378590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378591,PRKCZ-DT,PRKCZ divergent transcript,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5590,PRKCZ,protein kinase C zeta,44,50,57,52,57,51,78,56,57,48,46,42,42,31,42,38,35,44
100506504,PRKCZ-AS1,PRKCZ antisense RNA 1,12,8,7,16,8,5,12,5,10,9,2,8,5,8,2,6,4,5
199990,FAAP20,FA core complex associated protein 20,375,419,452,394,448,425,601,387,465,389,359,359,392,363,446,373,328,453
112268219,LOC112268219,uncharacterized LOC112268219,83,95,94,92,133,64,97,95,80,79,73,87,77,89,76,71,71,97
105378593,LOC105378593,uncharacterized LOC105378593,17,16,34,16,29,13,15,12,12,12,14,20,8,11,10,11,9,16
6497,SKI,SKI proto-oncogene,2683,2811,3060,2643,3396,2332,4155,4254,3716,2875,2814,3678,2653,2529,3106,2406,2189,3120
79906,MORN1,MORN repeat containing 1,110,97,112,100,128,78,68,119,69,49,77,80,82,66,92,84,60,91
100129534,LOC100129534,small nuclear ribonucleoprotein polypeptide N pseudogene,29,26,36,16,39,24,40,30,21,26,12,25,12,10,13,14,21,25
11079,RER1,retention in endoplasmic reticulum sorting receptor 1,2726,3009,2684,2449,2256,2116,3369,2429,2483,2356,2036,2332,2084,1981,2424,1971,1885,2423
5192,PEX10,peroxisomal biogenesis factor 10,397,447,363,362,312,342,515,379,361,344,324,342,313,327,371,297,282,336
9651,PLCH2,phospholipase C eta 2,2,2,3,2,6,8,31,14,32,15,8,16,8,4,4,11,8,6
55229,PANK4,pantothenate kinase 4 (inactive),370,351,336,305,310,303,389,298,355,273,235,332,310,267,342,258,251,362
388585,HES5,hes family bHLH transcription factor 5,0,0,0,0,0,0,2,4,0,0,0,1,1,1,1,0,0,0
115110,TNFRSF14-AS1,TNFRSF14 antisense RNA 1,26,27,50,24,45,36,23,19,29,23,23,28,14,19,17,23,25,33
8764,TNFRSF14,TNF receptor superfamily member 14,259,219,330,314,357,275,245,149,167,218,203,208,145,149,171,254,213,320
100996583,LOC100996583,uncharacterized LOC100996583,1,3,1,1,1,0,1,1,0,1,0,1,0,0,1,2,3,0
127281,PRXL2B,peroxiredoxin like 2B,519,498,437,359,365,402,392,325,318,330,271,308,404,384,454,339,321,476
79258,MMEL1,membrane metalloendopeptidase like 1,45,42,35,28,33,26,31,24,21,27,24,16,32,24,34,23,21,38
105378597,MMEL1-AS1,MMEL1 antisense RNA 1,1,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,2,0
100287898,TTC34,tetratricopeptide repeat domain 34,8,9,11,14,18,16,9,4,12,9,6,8,7,5,5,10,5,6
105378603,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378602,LOC105378602,uncharacterized LOC105378602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378601,LOC105378601,uncharacterized LOC105378601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112268220,LOC112268220,uncharacterized LOC112268220,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
107985732,LOC107985732,uncharacterized LOC107985732,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
105378600,LOC105378600,uncharacterized LOC105378600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378598,LOC105378598,uncharacterized LOC105378598,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
107984904,LOC107984904,uncharacterized LOC107984904,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
105378599,LOC105378599,uncharacterized LOC105378599,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140625,ACTRT2,actin related protein T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440556,PRDM16-DT,PRDM16 divergent transcript,3,3,8,3,8,4,4,1,2,5,4,3,10,16,18,11,13,16
63976,PRDM16,PR/SET domain 16,15,25,19,34,43,18,26,42,22,21,49,58,139,138,197,159,131,204
100422968,MIR4251,microRNA 4251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378606,LOC105378606,uncharacterized LOC105378606,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,0,1
107984909,LOC107984909,uncharacterized LOC107984909,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
105378605,LOC105378605,uncharacterized LOC105378605,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378604,LOC105378604,uncharacterized LOC105378604,8,4,5,3,5,7,6,2,0,3,5,1,5,5,8,11,9,13
27237,ARHGEF16,Rho guanine nucleotide exchange factor 16,3,0,6,4,4,3,65,37,48,13,9,15,0,1,4,0,1,0
1953,MEGF6,multiple EGF like domains 6,473,518,775,516,748,434,5993,5168,5274,3686,3174,3297,282,317,353,261,226,324
105378608,LOC105378608,uncharacterized LOC105378608,0,0,0,1,1,1,10,10,7,3,5,3,1,0,0,0,1,0
693135,MIR551A,microRNA 551a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105378607,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127262,TPRG1L,tumor protein p63 regulated 1 like,1045,1156,805,1003,873,1037,2186,1736,1941,1651,1357,1701,961,916,1124,985,837,1274
49856,WRAP73,"WD repeat containing, antisense to TP73",261,254,264,232,214,230,321,285,252,234,201,225,238,156,242,221,190,265
7161,TP73,tumor protein p73,8,6,14,6,14,7,12,7,8,4,5,5,5,8,7,6,13,9
105378610,TP73-AS3,TP73 antisense RNA 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378609,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57212,GFOD3P,"Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene",521,675,764,641,753,507,647,497,511,488,458,521,507,523,596,559,499,711
148870,CCDC27,coiled-coil domain containing 27,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388588,SMIM1,small integral membrane protein 1 (Vel blood group),2,1,4,2,4,0,0,0,0,1,2,0,0,1,1,1,2,1
57470,LRRC47,leucine rich repeat containing 47,804,797,718,669,643,624,1020,755,705,674,593,710,676,623,751,606,588,833
9731,CEP104,centrosomal protein 104,827,897,821,757,890,637,907,984,895,694,731,975,733,653,877,781,799,967
1677,DFFB,DNA fragmentation factor subunit beta,133,111,143,116,173,102,143,105,105,70,100,107,101,96,139,109,109,161
107984910,,,3,5,4,3,2,1,7,0,3,2,1,5,2,2,2,1,1,0
339448,C1orf174,chromosome 1 open reading frame 174,389,373,401,340,383,311,502,356,312,306,276,392,360,312,380,321,265,417
100133612,LINC01134,long intergenic non-protein coding RNA 1134,5,6,12,11,11,10,7,10,12,14,7,5,6,8,4,5,8,17
728716,LINC01346,long intergenic non-protein coding RNA 1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376672,LINC01345,long intergenic non-protein coding RNA 1345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376673,LINC02780,long intergenic non-protein coding RNA 2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284661,LINC01777,long intergenic non-protein coding RNA 1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376674,LOC105376674,uncharacterized LOC105376674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376679,LINC01646,long intergenic non-protein coding RNA 1646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107985376,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55966,AJAP1,adherens junctions associated protein 1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,3,4
105376680,LINC02781,long intergenic non-protein coding RNA 2781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102724429,LOC102724429,uncharacterized LOC102724429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105376681,LINC02782,long intergenic non-protein coding RNA 2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376682,LOC105376682,uncharacterized LOC105376682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984911,LOC107984911,uncharacterized LOC107984911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376686,LOC105376686,uncharacterized LOC105376686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100616421,MIR4689,microRNA 4689,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
261734,NPHP4,nephrocystin 4,335,369,410,380,426,307,339,346,346,242,216,312,330,293,337,273,252,371
8514,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,356,359,313,315,338,331,233,180,184,179,137,183,169,146,197,187,163,253
26038,CHD5,chromodomain helicase DNA binding protein 5,12,10,12,9,7,8,10,22,7,8,11,9,10,15,13,12,8,12
105376687,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6146,RPL22,ribosomal protein L22,7783,9108,6386,6490,5663,6464,10497,6919,7127,7337,5846,7583,6956,7136,8577,7830,7337,9523
107985733,,,48,52,27,43,39,31,48,44,36,42,31,45,39,35,40,33,36,63
102724450,RNF207-AS1,RNF207 antisense RNA 1,10,8,4,6,8,1,5,5,3,2,1,2,4,2,7,5,7,5
388591,RNF207,ring finger protein 207,211,181,328,264,380,191,138,124,123,101,76,109,161,151,198,168,158,233
23463,ICMT,isoprenylcysteine carboxyl methyltransferase,3057,3374,2496,2440,2241,2426,4533,4273,3881,3657,3299,4103,2816,2489,3042,2413,2128,3219
148645,ICMT-DT,ICMT divergent transcript,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
390992,HES3,hes family bHLH transcription factor 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
387509,GPR153,G protein-coupled receptor 153,176,191,173,140,202,174,175,167,148,137,127,156,173,139,181,118,112,173
11332,ACOT7,acyl-CoA thioesterase 7,932,944,652,596,434,676,1249,977,959,871,796,933,750,647,843,586,442,728
54626,HES2,hes family bHLH transcription factor 2,0,1,0,0,0,0,13,6,12,3,8,11,0,0,0,4,1,2
83715,ESPN,espin,2,3,4,2,8,2,6,7,4,2,3,2,2,3,6,5,4,6
100422975,MIR4252,microRNA 4252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8718,TNFRSF25,TNF receptor superfamily member 25,37,41,78,37,84,30,67,37,48,32,33,36,38,49,52,34,37,43
57449,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,148,158,256,168,207,159,226,216,222,160,167,138,193,207,270,201,185,236
79707,NOL9,nucleolar protein 9,605,670,605,548,713,446,538,656,503,427,386,674,460,487,566,516,494,685
80835,TAS1R1,taste 1 receptor member 1,15,19,21,13,13,14,3,2,3,2,2,3,0,0,2,1,2,4
107984912,LOC107984912,uncharacterized LOC107984912,1,1,2,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
3104,ZBTB48,zinc finger and BTB domain containing 48,242,257,324,223,283,243,265,241,232,206,184,211,213,204,223,234,151,243
9903,KLHL21,kelch like family member 21,1006,1049,962,1161,1283,1199,1487,1294,1362,1186,1116,1256,873,791,975,869,835,1190
107984913,LOC107984913,uncharacterized LOC107984913,24,16,25,35,53,29,25,34,20,24,33,33,39,21,32,25,25,59
148479,PHF13,PHD finger protein 13,398,478,431,426,499,380,407,370,360,319,303,332,449,427,501,431,353,463
90326,THAP3,THAP domain containing 3,440,436,400,374,376,383,543,402,411,397,329,405,386,344,466,392,351,488
55735,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11,1173,1190,1161,981,1047,920,1186,1011,949,871,824,1015,987,919,1098,936,809,1116
100505887,LINC01672,long intergenic non-protein coding RNA 1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110841581,CAMTA1-DT,CAMTA1 divergent transcript,1,1,2,2,4,5,2,2,3,2,1,3,0,4,2,2,2,4
23261,CAMTA1,calmodulin binding transcription activator 1,288,393,298,256,226,283,452,309,330,286,254,314,259,262,346,285,252,351
105376692,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102725193,CAMTA1-AS2,CAMTA1 antisense RNA 2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101928836,CAMTA1-AS1,CAMTA1 antisense RNA 1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,4,2,2
105376691,LOC105376691,uncharacterized LOC105376691,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
105376689,LOC105376689,translation initiation factor IF-2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0
9341,VAMP3,vesicle associated membrane protein 3,2681,3226,2597,2600,2353,2370,4814,3618,3996,3456,2881,3484,2676,2628,3331,2808,2588,3483
8863,PER3,period circadian regulator 3,88,70,87,83,135,89,86,85,102,107,98,131,109,95,119,123,138,177
10911,UTS2,urotensin 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3604,TNFRSF9,TNF receptor superfamily member 9,1,0,0,0,1,1,0,0,0,1,1,3,3,4,2,9,13,11
11315,PARK7,Parkinsonism associated deglycase,2164,2379,1690,1514,1250,1721,2791,1828,1948,2009,1656,1984,1847,1800,2155,1809,1677,2278
54206,ERRFI1,ERBB receptor feedback inhibitor 1,2646,3414,2861,2527,2465,1897,3495,3279,3233,2568,2318,2773,2448,2593,3124,2682,2351,3232
107984915,LOC107984915,uncharacterized LOC107984915,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
102724539,LINC01714,long intergenic non-protein coding RNA 1714,0,1,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0
105376695,LOC105376695,uncharacterized LOC105376695,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50651,SLC45A1,solute carrier family 45 member 1,93,103,118,105,123,99,176,128,135,125,109,129,96,110,102,136,91,138
